year,geo_name,geo,total_reimbursements_b
2014,"Hays County, TX","05000US48209",10031.0
2012,"Hays County, TX","05000US48209",10526.0
2010,"Hays County, TX","05000US48209",10167.0
2011,"Hemphill County","05000US48211",7631.0
2013,"Hemphill County","05000US48211",7633.0
2010,"Hemphill County","05000US48211",7913.0
2014,"Hemphill County","05000US48211",8478.0
2012,"Hemphill County","05000US48211",8224.0
2013,"Henderson County","05000US48213",11606.0
2014,"Henderson County","05000US48213",11963.0
2010,"Henderson County","05000US48213",11114.0
2012,"Henderson County","05000US48213",11498.0
2011,"Henderson County","05000US48213",11315.0
2014,"Hidalgo County, TX","05000US48215",12336.0
2013,"Hidalgo County, TX","05000US48215",12213.0
2011,"Hidalgo County, TX","05000US48215",13164.0
2010,"Hidalgo County, TX","05000US48215",13648.0
2012,"Hidalgo County, TX","05000US48215",12588.0
2013,"Hill County","05000US48217",9351.0
2014,"Hill County","05000US48217",9283.0
2010,"Hill County","05000US48217",9771.0
2011,"Hill County","05000US48217",9972.0
2012,"Hill County","05000US48217",9775.0
2010,"Hockley County","05000US48219",11015.0
2014,"Hockley County","05000US48219",9908.0
2011,"Hockley County","05000US48219",10741.0
2013,"Hockley County","05000US48219",10287.0
2012,"Hockley County","05000US48219",10705.0
2011,"Hood County","05000US48221",9972.0
2010,"Hood County","05000US48221",9543.0
2012,"Hood County","05000US48221",9955.0
2013,"Hood County","05000US48221",10317.0
2014,"Hood County","05000US48221",10027.0
2013,"Hopkins County","05000US48223",11375.0
2011,"Hopkins County","05000US48223",10465.0
2010,"Hopkins County","05000US48223",10245.0
2014,"Hopkins County","05000US48223",11358.0
2012,"Hopkins County","05000US48223",10752.0
2012,"Houston County","05000US48225",10100.0
2014,"Houston County","05000US48225",9619.0
2013,"Houston County","05000US48225",9928.0
2010,"Houston County","05000US48225",9726.0
2011,"Houston County","05000US48225",10121.0
2011,"Howard County","05000US48227",9867.0
2012,"Howard County","05000US48227",8980.0
2013,"Howard County","05000US48227",9109.0
2014,"Howard County","05000US48227",9481.0
2010,"Howard County","05000US48227",10371.0
2010,"Hudspeth County","05000US48229",7088.0
2012,"Hudspeth County","05000US48229",10585.0
2011,"Hudspeth County","05000US48229",6404.0
2014,"Hudspeth County","05000US48229",7451.0
2013,"Hudspeth County","05000US48229",8102.0
2014,"Hunt County","05000US48231",11655.0
2010,"Hunt County","05000US48231",11979.0
2013,"Hunt County","05000US48231",11743.0
2011,"Hunt County","05000US48231",12095.0
2012,"Hunt County","05000US48231",11509.0
2013,"Hutchinson County","05000US48233",11023.0
2011,"Hutchinson County","05000US48233",9911.0
2010,"Hutchinson County","05000US48233",9933.0
2014,"Hutchinson County","05000US48233",11104.0
2012,"Hutchinson County","05000US48233",10570.0
2014,"Irion County","05000US48235",9349.0
2010,"Irion County","05000US48235",10431.0
2011,"Irion County","05000US48235",9313.0
2013,"Irion County","05000US48235",9699.0
2012,"Irion County","05000US48235",6855.0
2010,"Jack County","05000US48237",13419.0
2012,"Jack County","05000US48237",10664.0
2014,"Jack County","05000US48237",10172.0
2011,"Jack County","05000US48237",12919.0
2013,"Jack County","05000US48237",10704.0
2011,"Jackson County","05000US48239",11720.0
2014,"Jackson County","05000US48239",10669.0
2013,"Jackson County","05000US48239",11322.0
2010,"Jackson County","05000US48239",11729.0
2012,"Jackson County","05000US48239",12101.0
2012,"Jasper County","05000US48241",11117.0
2011,"Jasper County","05000US48241",11015.0
2010,"Jasper County","05000US48241",11242.0
2013,"Jasper County","05000US48241",11106.0
2014,"Jasper County","05000US48241",11325.0
2014,"Jeff Davis County","05000US48243",6403.0
2013,"Jeff Davis County","05000US48243",7841.0
2011,"Jeff Davis County","05000US48243",8852.0
2010,"Jeff Davis County","05000US48243",7582.0
2012,"Jeff Davis County","05000US48243",7461.0
2013,"Jefferson County, TX","05000US48245",11270.0
2010,"Jefferson County, TX","05000US48245",11035.0
2011,"Jefferson County, TX","05000US48245",11281.0
2014,"Jefferson County, TX","05000US48245",11460.0
2012,"Jefferson County, TX","05000US48245",11335.0
2012,"Jim Hogg County","05000US48247",15328.0
2013,"Jim Hogg County","05000US48247",15837.0
2011,"Jim Hogg County","05000US48247",16292.0
2010,"Jim Hogg County","05000US48247",15094.0
2014,"Jim Hogg County","05000US48247",15947.0
2012,"Jim Wells County","05000US48249",15966.0
2010,"Jim Wells County","05000US48249",15077.0
2013,"Jim Wells County","05000US48249",15042.0
2014,"Jim Wells County","05000US48249",14325.0
2011,"Jim Wells County","05000US48249",15269.0
2010,"Johnson County, TX","05000US48251",11968.0
2013,"Johnson County, TX","05000US48251",12176.0
2012,"Johnson County, TX","05000US48251",12476.0
2011,"Johnson County, TX","05000US48251",12028.0
2014,"Johnson County, TX","05000US48251",12321.0
2012,"Jones County","05000US48253",9591.0
2014,"Jones County","05000US48253",10726.0
