State,State Code,Ten-Year Age Groups,Ten-Year Age Groups Code,Gender,Gender Code,Deaths,Population,Crude Rate
District of Columbia,11,75-84 years,75-84,Male,M,14,164226,Unreliable
District of Columbia,11,85+ years,85+,Male,M,14,56170,Unreliable
Florida,12,5-14 years,5-14,Female,F,74,20406137,0.4
Florida,12,5-14 years,5-14,Male,M,182,21356305,0.9
Florida,12,15-24 years,15-24,Female,F,808,21572745,3.7
Florida,12,15-24 years,15-24,Male,M,3492,22732520,15.4
Florida,12,25-34 years,25-34,Female,F,1302,21721694,6
Florida,12,25-34 years,25-34,Male,M,4990,22084208,22.6
Florida,12,35-44 years,35-44,Female,F,2189,23776765,9.2
Florida,12,35-44 years,35-44,Male,M,6243,23484072,26.6
Florida,12,45-54 years,45-54,Female,F,2974,24707229,12
Florida,12,45-54 years,45-54,Male,M,7960,23577269,33.8
Florida,12,55-64 years,55-64,Female,F,2145,21902325,9.8
Florida,12,55-64 years,55-64,Male,M,6323,19567060,32.3
Florida,12,65-74 years,65-74,Female,F,1112,17664336,6.3
Florida,12,65-74 years,65-74,Male,M,4257,15350947,27.7
Florida,12,75-84 years,75-84,Female,F,670,11899618,5.6
Florida,12,75-84 years,75-84,Male,M,3686,9353101,39.4
Florida,12,85+ years,85+,Female,F,327,5114025,6.4
Florida,12,85+ years,85+,Male,M,1782,2937153,60.7
Florida,12,Not Stated,NS,Male,M,12,Not Applicable,Not Applicable
Georgia,13,5-14 years,5-14,Female,F,54,12425326,0.4
Georgia,13,5-14 years,5-14,Male,M,125,12944306,1
Georgia,13,15-24 years,15-24,Female,F,413,12442659,3.3
Georgia,13,15-24 years,15-24,Male,M,2179,13084537,16.7
Georgia,13,25-34 years,25-34,Female,F,645,12795825,5
Georgia,13,25-34 years,25-34,Male,M,2724,12651072,21.5
Georgia,13,35-44 years,35-44,Female,F,898,13367434,6.7
Georgia,13,35-44 years,35-44,Male,M,2880,12901556,22.3
Georgia,13,45-54 years,45-54,Female,F,1119,12626411,8.9
Georgia,13,45-54 years,45-54,Male,M,3116,11968959,26
Georgia,13,55-64 years,55-64,Female,F,728,9706711,7.5
Georgia,13,55-64 years,55-64,Male,M,2350,8806466,26.7
Georgia,13,65-74 years,65-74,Female,F,338,6155528,5.5
Georgia,13,65-74 years,65-74,Male,M,1438,5157882,27.9
Georgia,13,75-84 years,75-84,Female,F,155,3547890,4.4
Georgia,13,75-84 years,75-84,Male,M,995,2348499,42.4
Georgia,13,85+ years,85+,Female,F,49,1479424,3.3
Georgia,13,85+ years,85+,Male,M,343,610059,56.2
Hawaii,15,5-14 years,5-14,Male,M,16,1620334,Unreliable
Hawaii,15,15-24 years,15-24,Female,F,92,1568219,5.9
Hawaii,15,15-24 years,15-24,Male,M,348,1821823,19.1
Hawaii,15,25-34 years,25-34,Female,F,113,1691105,6.7
Hawaii,15,25-34 years,25-34,Male,M,428,1840771,23.3
Hawaii,15,35-44 years,35-44,Female,F,96,1694486,5.7
Hawaii,15,35-44 years,35-44,Male,M,430,1738559,24.7
Hawaii,15,45-54 years,45-54,Female,F,151,1743554,8.7
Hawaii,15,45-54 years,45-54,Male,M,423,1744397,24.2
Hawaii,15,55-64 years,55-64,Female,F,106,1491632,7.1
Hawaii,15,55-64 years,55-64,Male,M,332,1451400,22.9
Hawaii,15,65-74 years,65-74,Female,F,53,1027977,5.2
Hawaii,15,65-74 years,65-74,Male,M,179,915342,19.6
Hawaii,15,75-84 years,75-84,Female,F,49,690791,7.1
Hawaii,15,75-84 years,75-84,Male,M,93,518097,18
Hawaii,15,85+ years,85+,Female,F,16,331433,Unreliable
Hawaii,15,85+ years,85+,Male,M,64,198769,32.2
Idaho,16,5-14 years,5-14,Female,F,17,2108340,Unreliable
Idaho,16,5-14 years,5-14,Male,M,48,2223001,2.2
Idaho,16,15-24 years,15-24,Female,F,124,2047557,6.1
Idaho,16,15-24 years,15-24,Male,M,634,2157343,29.4
Idaho,16,25-34 years,25-34,Female,F,146,1830499,8
Idaho,16,25-34 years,25-34,Male,M,588,1910931,30.8
Idaho,16,35-44 years,35-44,Female,F,228,1829783,12.5
Idaho,16,35-44 years,35-44,Male,M,710,1870461,38
Idaho,16,45-54 years,45-54,Female,F,238,1860914,12.8
Idaho,16,45-54 years,45-54,Male,M,730,1852502,39.4
Idaho,16,55-64 years,55-64,Female,F,163,1558373,10.5
Idaho,16,55-64 years,55-64,Male,M,566,1532936,36.9
Idaho,16,65-74 years,65-74,Female,F,57,1039285,5.5
Idaho,16,65-74 years,65-74,Male,M,356,992038,35.9
Idaho,16,75-84 years,75-84,Female,F,23,630854,3.6
Idaho,16,75-84 years,75-84,Male,M,270,511340,52.8
Idaho,16,85+ years,85+,Male,M,129,158791,81.2
Illinois,17,5-14 years,5-14,Female,F,68,16223708,0.4
Illinois,17,5-14 years,5-14,Male,M,132,16947170,0.8
Illinois,17,15-24 years,15-24,Female,F,536,16453639,3.3
